"Table Name","Column Name","Data Type"
"ai_chat_messages","message_id","integer"
"ai_chat_messages","student_id","bigint"
"ai_chat_messages","role","character varying"
"ai_chat_messages","message_content","text"
"ai_chat_messages","created_at","timestamp without time zone"
"ai_usage_logs","log_id","integer"
"ai_usage_logs","usage_date","date"
"ai_usage_logs","usage_time","time without time zone"
"ai_usage_logs","user_name","character varying"
"ai_usage_logs","user_email","character varying"
"ai_usage_logs","user_type","character varying"
"ai_usage_logs","feature_used","character varying"
"ai_usage_logs","created_at","timestamp without time zone"
"sgs_assessment_results","result_id","bigint"
"sgs_assessment_results","assessment_id","bigint"
"sgs_assessment_results","student_id","bigint"
"sgs_assessment_results","roll_number","character varying"
"sgs_assessment_results","student_name","character varying"
"sgs_assessment_results","marks_obtained","numeric"
"sgs_assessment_results","percentage","numeric"
"sgs_assessment_results","is_absent","boolean"
"sgs_assessment_results","created_at","timestamp without time zone"
"sgs_assessment_results","updated_at","timestamp without time zone"
"sgs_assessment_results","record_status","character varying"
"sgs_assessment_results","version_no","integer"
"sgs_assessments","assessment_id","bigint"
"sgs_assessments","teacher_id","bigint"
"sgs_assessments","title","character varying"
"sgs_assessments","assessment_type","character varying"
"sgs_assessments","chapter_id","bigint"
"sgs_assessments","chapter","character varying"
"sgs_assessments","assessment_date","date"
"sgs_assessments","max_marks","numeric"
"sgs_assessments","class_name","character varying"
"sgs_assessments","section","character varying"
"sgs_assessments","total_students","integer"
"sgs_assessments","submitted","integer"
"sgs_assessments","class_average","numeric"
"sgs_assessments","created_at","timestamp without time zone"
"sgs_assessments","updated_at","timestamp without time zone"
"sgs_assessments","record_status","character varying"
"sgs_assessments","version_no","integer"
"sgs_lesson_plans","lesson_plan_id","bigint"
"sgs_lesson_plans","teacher_id","bigint"
"sgs_lesson_plans","title","character varying"
"sgs_lesson_plans","subject","character varying"
"sgs_lesson_plans","class_name","character varying"
"sgs_lesson_plans","section","character varying"
"sgs_lesson_plans","chapter_id","bigint"
"sgs_lesson_plans","chapter_text","character varying"
"sgs_lesson_plans","duration_minutes","integer"
"sgs_lesson_plans","objectives","jsonb"
"sgs_lesson_plans","materials","jsonb"
"sgs_lesson_plans","core_concept","text"
"sgs_lesson_plans","plan_sections","jsonb"
"sgs_lesson_plans","assessment_method","text"
"sgs_lesson_plans","homework","text"
"sgs_lesson_plans","differentiation","jsonb"
"sgs_lesson_plans","prompt_used","text"
"sgs_lesson_plans","modification_log","jsonb"
"sgs_lesson_plans","created_at","timestamp without time zone"
"sgs_lesson_plans","updated_at","timestamp without time zone"
"sgs_lesson_plans","record_status","character varying"
"sgs_lesson_plans","version_no","integer"
"sgs_notice_board","notice_id","bigint"
"sgs_notice_board","notice_title","character varying"
"sgs_notice_board","notice_text","text"
"sgs_notice_board","notice_date","date"
"sgs_notice_board","applicable_class","character varying"
"sgs_notice_board","posted_by","bigint"
"sgs_notice_board","created_datetime","timestamp without time zone"
"sgs_notice_board","created_user_id","character varying"
"sgs_notice_board","created_ip_address","character varying"
"sgs_notice_board","modified_datetime","timestamp without time zone"
"sgs_notice_board","modified_user_id","character varying"
"sgs_notice_board","modified_ip_address","character varying"
"sgs_notice_board","record_status","character varying"
"sgs_notice_board","version_no","integer"
"sgs_notice_board","is_read","boolean"
"sgs_parent_master","parent_id","integer"
"sgs_parent_master","full_name","character varying"
"sgs_parent_master","email","character varying"
"sgs_parent_master","phone","character varying"
"sgs_parent_master","profile_image","character varying"
"sgs_parent_master","created_at","timestamp without time zone"
"sgs_parent_master","updated_at","timestamp without time zone"
"sgs_parent_student_map","id","integer"
"sgs_parent_student_map","parent_id","integer"
"sgs_parent_student_map","student_id","integer"
"sgs_parent_student_map","relationship_type","character varying"
"sgs_student_master","student_id","integer"
"sgs_student_master","admission_no","character varying"
"sgs_student_master","full_name","character varying"
"sgs_student_master","class_id","bigint"
"sgs_student_master","section","character varying"
"sgs_student_master","roll_no","character varying"
"sgs_student_master","student_phone","character varying"
"sgs_student_master","student_email","character varying"
"sgs_student_master","created_datetime","timestamp without time zone"
"sgs_student_master","modified_datetime","timestamp without time zone"
"sgs_student_master","record_status","character varying"
"sgs_student_master","version_no","integer"
"sgs_users_masters","user_id","bigint"
"sgs_users_masters","login_id","character varying"
"sgs_users_masters","password_hash","text"
"sgs_users_masters","full_name","character varying"
"sgs_users_masters","email_id","character varying"
"sgs_users_masters","mobile_no","character varying"
"sgs_users_masters","role_id","integer"
"sgs_users_masters","school_id","bigint"
"sgs_users_masters","is_active","boolean"
"sgs_users_masters","created_datetime","timestamp without time zone"
"sgs_users_masters","created_user_id","character varying"
"sgs_users_masters","created_ip_address","character varying"
"sgs_users_masters","modified_datetime","timestamp without time zone"
"sgs_users_masters","modified_user_id","character varying"
"sgs_users_masters","modified_ip_address","character varying"
"sgs_users_masters","record_status","character varying"
"sgs_users_masters","version_no","integer"
